Gene,GO,UniProt
LCK,GO:0019903,P06239
LCK,GO:0004713,P06239
LCK,GO:0051219,P06239
LCK,GO:0045309,P06239
LCK,GO:0004715,P06239
LCK,GO:0001784,P06239
LCP1,GO:0050839,P13796
LDHA,GO:0050839,P00338
LDHA,GO:0045296,P00338
LDLR,GO:0002020,P01130
LETM1,GO:0043021,O95202
LETM1,GO:0043022,O95202
LETMD1,GO:0043021,Q6P1Q0
LETMD1,GO:0043022,Q6P1Q0
LGALS1,GO:0003723,P09382
LGALS3,GO:0003723,P17931
LGALS3,GO:0019903,P17931
LGALS8,GO:0050839,O00214
LIG4,GO:0008022,P49917
LIMA1,GO:0050839,Q9UHB6
LIMA1,GO:0045296,Q9UHB6
LIN28B,GO:0003723,Q6ZN17
LLPH,GO:0003723,Q9BRT6
LLPH,GO:0001098,Q9BRT6
LLPH,GO:0001099,Q9BRT6
LMAN1,GO:0051082,P49257
LMAN2,GO:0031072,Q12907
LMO2,GO:0043425,P25791
LONP1,GO:0003723,P36776
LONP1,GO:0003697,P36776
LONP1,GO:0003727,P36776
LONP1,GO:0043531,P36776
LONP1,GO:0070182,P36776
LRP1,GO:0003723,Q07954
LRP1,GO:0002020,Q07954
LRP1,GO:0070325,Q07954
LRP11,GO:0051219,Q86VZ4
LRP2,GO:0051087,P98164
LRP8,GO:0047485,Q14114
LRP8,GO:0019894,Q14114
LRPAP1,GO:0070325,P30533
LRPAP1,GO:0050750,P30533
LRPPRC,GO:0003723,P42704
LRPPRC,GO:0044389,P42704
LRPPRC,GO:0031625,P42704
LRPPRC,GO:0003697,P42704
LRRC47,GO:0003723,Q8N1G4
LRRC47,GO:0004812,Q8N1G4
LRRC47,GO:0016875,Q8N1G4
LRRC59,GO:0003723,Q96AG4
LRRC59,GO:0050839,Q96AG4
LRRC59,GO:0045296,Q96AG4
LRRFIP1,GO:0003723,Q32MZ4
LRRFIP1,GO:0050839,Q32MZ4
LRRFIP1,GO:0045296,Q32MZ4
LRRFIP1,GO:0003725,Q32MZ4
LSM14A,GO:0003723,A0A140TA76
LSM14A,GO:0003729,A0A140TA76
LSM14A,GO:0003725,A0A140TA76
LSM14A,GO:0003727,A0A140TA76
LSM14B,GO:0003723,Q9BX40
LSM14B,GO:0003729,Q9BX40
LSM2,GO:0003723,Q9Y333
LSM2,GO:0031267,Q9Y333
LSM2,GO:0017069,Q9Y333
LSM2,GO:0017070,Q9Y333
LSM3,GO:0003723,P62310
LSM3,GO:0017069,P62310
LSM3,GO:0017070,P62310
LSM4,GO:0003723,Q9Y4Z0
LSM4,GO:0017069,Q9Y4Z0
LSM4,GO:0017070,Q9Y4Z0
LTBP4,GO:0050839,Q8N2S1
LTBR,GO:0044389,P36941
LTBR,GO:0031625,P36941
LTN1,GO:0043021,O94822
LUC7L,GO:0003723,Q9NQ29
LUC7L,GO:0003729,Q9NQ29
LUC7L2,GO:0003723,Q9Y383
LUC7L2,GO:0003729,Q9Y383
LUC7L3,GO:0003723,O95232
LUC7L3,GO:0003729,O95232
LYAR,GO:0003723,Q9NX58
LYN,GO:0050839,P07948
LYN,GO:0044389,P07948
LYN,GO:0031625,P07948
LYN,GO:0004713,P07948
LYN,GO:0051219,P07948
LYN,GO:0004715,P07948
LYN,GO:0043015,P07948
LYN,GO:0046875,P07948
MACF1,GO:0003723,H3BQK9
MACF1,GO:0050839,H3BQK9
MACF1,GO:0045296,H3BQK9
MACF1,GO:0051011,H3BQK9
MAD2L1,GO:0008022,Q13257
MAGI1,GO:0060090,Q96QZ7
MAGI1,GO:0008022,Q96QZ7
MAGI2,GO:0046332,Q86UL8
MAGI2,GO:0032947,Q86UL8
MAGI2,GO:0030159,Q86UL8
MAGI3,GO:0060090,Q5TCQ9
MAGOH,GO:0003723,P61326
MAGOHB,GO:0003723,Q96A72
MALT1,GO:0002020,Q9UDY8
MANF,GO:0003723,P55145
MAP1A,GO:0060090,P78559
MAP1A,GO:0030674,P78559
MAP1A,GO:0048156,P78559
MAP1LC3A,GO:0044389,Q9H492
MAP1LC3A,GO:0031625,Q9H492
MAP1LC3B,GO:0044389,Q9GZQ8
MAP1LC3B,GO:0031625,Q9GZQ8
MAP1LC3C,GO:0044389,Q9BXW4
MAP1LC3C,GO:0031625,Q9BXW4
MAP2,GO:0048156,P11137
MAP2K1,GO:0060090,Q02750
MAP2K1,GO:0008022,Q02750
MAP2K1,GO:0004713,Q02750
MAP2K1,GO:0047485,Q02750
MAP2K1,GO:0035591,Q02750
MAP2K1,GO:0004712,Q02750
MAP2K1,GO:0032947,Q02750
MAP2K2,GO:0060090,P36507
MAP2K2,GO:0004713,P36507
MAP2K2,GO:0035591,P36507
MAP2K2,GO:0004712,P36507
MAP2K2,GO:0032947,P36507
MAP2K3,GO:0004713,C7DUW4
MAP2K3,GO:0004712,C7DUW4
MAP2K4,GO:0004713,P45985
MAP2K4,GO:0004712,P45985
MAP2K6,GO:0004713,P52564
MAP2K6,GO:0004712,P52564
MAP2K7,GO:0019903,O14733
MAP2K7,GO:0004713,O14733
MAP2K7,GO:0004712,O14733
MAP3K1,GO:0004709,Q13233
MAP3K10,GO:0043425,Q02779
MAP3K10,GO:0004709,Q02779
MAP3K11,GO:0004709,Q16584
MAP3K14,GO:0004709,Q99558
MAP3K2,GO:0004709,Q9Y2U5
MAP3K3,GO:0004709,Q99759
MAP3K4,GO:0004709,Q9Y6R4
MAP3K5,GO:0019903,Q99683
MAP3K5,GO:0004709,Q99683
MAP3K7,GO:0030971,Q9UG54
MAP3K7,GO:0004709,Q9UG54
MAP3K9,GO:0004712,P80192
MAP3K9,GO:0004709,P80192
MAP4,GO:0003723,P27816
MAPK1,GO:0051219,P28482
MAPK1,GO:0045309,P28482
MAPK1,GO:0001784,P28482
MAPK1,GO:0004712,P28482
MAPK14,GO:0019903,Q16539
MAPK14,GO:0004712,Q16539
MAPK3,GO:0051219,P27361
MAPK3,GO:0045309,P27361
MAPK3,GO:0001784,P27361
MAPK3,GO:0004712,P27361
MAPK8IP1,GO:0060090,Q9UQF2
MAPK8IP1,GO:0035591,Q9UQF2
MAPK8IP1,GO:0032947,Q9UQF2
MAPK8IP1,GO:0019894,Q9UQF2
MAPK8IP2,GO:0060090,Q13387
MAPK8IP2,GO:0035591,Q13387
MAPK8IP2,GO:0032947,Q13387
MAPK8IP2,GO:0019894,Q13387
MAPK9,GO:0004712,P45984
MAPKAP1,GO:0031267,Q9BPZ7
MAPKAP1,GO:0005547,Q9BPZ7
MAPKAPK2,GO:0009931,P49137
MAPKAPK3,GO:0004712,Q16644
MAPKAPK3,GO:0009931,Q16644
MAPKAPK5,GO:0002039,Q8IW41
MAPKAPK5,GO:0004712,Q8IW41
MAPKAPK5,GO:0009931,Q8IW41
MAPRE1,GO:0003723,Q15691
MAPRE1,GO:0050839,Q15691
MAPRE1,GO:0045296,Q15691
MAPRE1,GO:0008022,Q15691
MAPT,GO:0003723,P10636
MAPT,GO:0060090,P10636
MAPT,GO:0030674,P10636
MAPT,GO:0019903,P10636
MAPT,GO:0031072,P10636
MAPT,GO:0003697,P10636
MAPT,GO:0051087,P10636
MAPT,GO:0051879,P10636
MARCKS,GO:0005080,P29966
MARK1,GO:0048156,Q9P0L2
MARK2,GO:0003723,Q7KZI7
MARK2,GO:0050839,Q7KZI7
MARK2,GO:0045296,Q7KZI7
MARK2,GO:0048156,Q7KZI7
MARK3,GO:0048156,P27448
MARK4,GO:0032182,Q96L34
MARK4,GO:0043130,Q96L34
MARK4,GO:0048156,Q96L34
MARK4,GO:0043015,Q96L34
MATK,GO:0004713,P42679
MATK,GO:0004715,P42679
MATR3,GO:0003723,P43243
MATR3,GO:0061980,P43243
MATR3,GO:0035198,P43243
MAVS,GO:0060090,Q7Z434
MAVS,GO:0035591,Q7Z434
MAZ,GO:0003723,P56270
MBNL1,GO:0003723,Q9NR56
MBNL1,GO:0003725,Q9NR56
MBP,GO:0002020,P02686
MCAT,GO:0003723,Q8IVS2
MCL1,GO:0008565,Q07820
MCM10,GO:0003697,Q7L590
MCM10,GO:0003688,Q7L590
MCM2,GO:0004386,P49736
MCM2,GO:0003697,P49736
MCM2,GO:0003678,P49736
MCM2,GO:0008094,P49736
MCM2,GO:0003688,P49736
MCM3,GO:0004386,P25205
MCM3,GO:0003697,P25205
MCM3,GO:0003678,P25205
MCM3,GO:0003688,P25205
MCM4,GO:0004386,P33991
MCM4,GO:0003697,P33991
MCM4,GO:0003678,P33991
MCM4,GO:0003688,P33991
MCM5,GO:0004386,B1AHB1
MCM5,GO:0003697,B1AHB1
MCM5,GO:0003678,B1AHB1
MCM5,GO:0008094,B1AHB1
MCM5,GO:0003688,B1AHB1
MCM6,GO:0004386,Q4ZG57
MCM6,GO:0003697,Q4ZG57
MCM6,GO:0003678,Q4ZG57
MCM6,GO:0008094,Q4ZG57
MCM6,GO:0003688,Q4ZG57
MCM7,GO:0004386,P33993
MCM7,GO:0003697,P33993
MCM7,GO:0003678,P33993
MCM7,GO:0008094,P33993
MCM7,GO:0003688,P33993
MCM8,GO:0004386,A0A0S2Z5Q9
MCM8,GO:0003697,A0A0S2Z5Q9
MCM8,GO:0003678,A0A0S2Z5Q9
MCM8,GO:0003688,A0A0S2Z5Q9
MCRS1,GO:0003723,Q96EZ8
MCRS1,GO:0003727,Q96EZ8
MCRS1,GO:0070717,Q96EZ8
MCTS1,GO:0003723,Q9ULC4
MCTS1,GO:0008135,Q9ULC4
MCTS1,GO:0003743,Q9ULC4
MDC1,GO:0008022,Q14676
MDH2,GO:0003723,P40926
MDM2,GO:0003723,Q00987
MDM2,GO:0044389,Q00987
MDM2,GO:0031625,Q00987
MDM2,GO:0043021,Q00987
MDM2,GO:0032182,Q00987
MDM2,GO:0047485,Q00987
MDM2,GO:0043130,Q00987
MDM2,GO:0019843,Q00987
MDM2,GO:0002039,Q00987
MDM2,GO:0097718,Q00987
MDM2,GO:0019789,Q00987
MDN1,GO:0051082,Q9NU22
MECP2,GO:0003723,P51608
MECP2,GO:0003729,P51608
MECP2,GO:0047485,P51608
MECP2,GO:0061980,P51608
MED1,GO:0030374,Q15648
MED1,GO:0046966,Q15648
MED12,GO:0008022,Q93074
MED12,GO:0030374,Q93074
MED12,GO:0046966,Q93074
MED13,GO:0030374,Q9UHV7
MED13,GO:0046966,Q9UHV7
MED14,GO:0030374,O60244
MED16,GO:0046966,Q9Y2X0
MED17,GO:0030374,Q9NVC6
MED17,GO:0046966,Q9NVC6
MED24,GO:0030374,O75448
MED24,GO:0046966,O75448
MED4,GO:0030374,Q9NPJ6
MED4,GO:0046966,Q9NPJ6
MEF2A,GO:0046332,Q02078
MELK,GO:0004713,Q14680
MELK,GO:0004715,Q14680
MEPCE,GO:0003723,Q7L2J0
MEPCE,GO:0017069,Q7L2J0
MET,GO:0019903,P08581
MET,GO:0004713,P08581
METAP2,GO:0003723,P50579
METTL16,GO:0003723,Q86W50
METTL16,GO:0017069,Q86W50
METTL16,GO:0017070,Q86W50
MEX3A,GO:0003723,A1L020
MEX3D,GO:0003723,Q86XN8
MEX3D,GO:0003729,Q86XN8
MFAP1,GO:0003723,P55081
MFGE8,GO:0050839,Q08431
MFN2,GO:0044389,O95140
MFN2,GO:0031625,O95140
MICALL1,GO:0050839,Q8N3F8
MICALL1,GO:0045296,Q8N3F8
MICALL1,GO:0031267,Q8N3F8
MID2,GO:0051219,Q9UJV3
MIF4GD,GO:0003723,A9UHW6
MIF4GD,GO:0008022,A9UHW6
MKI67,GO:0003723,P46013
MKI67,GO:0008022,P46013
MKRN1,GO:0003723,Q9UHC7
MKRN2,GO:0003723,Q9H000
MLH1,GO:0003697,P40692
MLKL,GO:0004709,Q8NB16
MLPH,GO:0060090,Q9BV36
MLPH,GO:0031267,Q9BV36
MLPH,GO:0030674,Q9BV36
MMGT1,GO:0008565,Q8N4V1
MMP14,GO:0050839,P50281
MMS19,GO:0060090,Q96T76
MMS19,GO:0030674,Q96T76
MMS19,GO:0032947,Q96T76
MMS19,GO:0030159,Q96T76
MNAT1,GO:0047485,P51948
MORF4L1,GO:0047485,Q9UBU8
MOS,GO:0004709,P00540
MOV10,GO:0003723,Q9HCE1
MOV10,GO:0004386,Q9HCE1
MOV10,GO:0003724,Q9HCE1
MPDZ,GO:0008022,O75970
MPG,GO:0003684,P29372
MPHOSPH10,GO:0003723,O00566
MPHOSPH6,GO:0003723,Q99547
MPP7,GO:0050839,Q5T2T1
MPP7,GO:0045296,Q5T2T1
MPP7,GO:0060090,Q5T2T1
MPP7,GO:0035591,Q5T2T1
MPRIP,GO:0050839,H0Y2S9
MPRIP,GO:0045296,H0Y2S9
MRPL1,GO:0003723,Q9BYD6
MRPL1,GO:0003735,Q9BYD6
MRPL10,GO:0003723,B4DEH0
MRPL10,GO:0003735,B4DEH0
MRPL11,GO:0003723,Q9Y3B7
MRPL11,GO:0003735,Q9Y3B7
MRPL11,GO:0019843,Q9Y3B7
MRPL12,GO:0003723,P52815
MRPL12,GO:0003735,P52815
MRPL15,GO:0003723,Q9P015
MRPL15,GO:0003735,Q9P015
MRPL17,GO:0003735,Q9NRX2
MRPL19,GO:0003735,P49406
MRPL2,GO:0003723,Q5T653
MRPL2,GO:0003735,Q5T653
MRPL20,GO:0003723,Q9BYC9
MRPL20,GO:0003735,Q9BYC9
MRPL20,GO:0019843,Q9BYC9
MRPL22,GO:0003723,Q9NWU5
MRPL22,GO:0003735,Q9NWU5
MRPL27,GO:0003723,D6RAN8
MRPL27,GO:0003735,D6RAN8
MRPL28,GO:0003723,Q13084
MRPL28,GO:0003735,Q13084
MRPL32,GO:0003723,Q9BYC8
MRPL32,GO:0003735,Q9BYC8
MRPL34,GO:0003735,Q9BQ48
MRPL35,GO:0003735,S4R348
MRPL36,GO:0003735,Q9P0J6
MRPL41,GO:0003723,Q8IXM3
MRPL41,GO:0003735,Q8IXM3
MRPL42,GO:0003723,Q9Y6G3
MRPL42,GO:0003735,Q9Y6G3
MRPL43,GO:0003723,Q8N983
MRPL43,GO:0003735,Q8N983
MRPL44,GO:0003723,Q9H9J2
MRPL44,GO:0003725,Q9H9J2
MRPL44,GO:0016891,Q9H9J2
MRPL45,GO:0003723,A0A087X2D5
MRPL46,GO:0003735,Q9H2W6
MRPL49,GO:0003735,Q13405
MRPL54,GO:0003723,Q6P161
MRPL54,GO:0003735,Q6P161
MRPL9,GO:0003723,Q9BYD2
MRPL9,GO:0003735,Q9BYD2
MRPS12,GO:0003723,O15235
MRPS12,GO:0003735,O15235
MRPS15,GO:0003723,P82914
MRPS15,GO:0003735,P82914
MRPS16,GO:0003735,Q9Y3D3
MRPS17,GO:0003723,Q9Y2R5
MRPS17,GO:0003735,Q9Y2R5
MRPS17,GO:0019843,Q9Y2R5
MRPS18A,GO:0003723,Q9NVS2
MRPS18A,GO:0003735,Q9NVS2
MRPS18A,GO:0019843,Q9NVS2
MRPS18C,GO:0003723,Q9Y3D5
MRPS18C,GO:0003735,Q9Y3D5
MRPS18C,GO:0019843,Q9Y3D5
MRPS2,GO:0003735,Q9Y399
MRPS22,GO:0003735,P82650
MRPS23,GO:0003723,Q9Y3D9
MRPS23,GO:0003735,Q9Y3D9
MRPS24,GO:0003723,Q96EL2
MRPS24,GO:0003735,Q96EL2
MRPS25,GO:0003735,P82663
MRPS26,GO:0003723,Q9BYN8
MRPS27,GO:0003723,Q6PKB3
MRPS27,GO:0043021,Q6PKB3
MRPS27,GO:0019843,Q6PKB3
MRPS27,GO:0043022,Q6PKB3
MRPS28,GO:0003723,Q9Y2Q9
MRPS31,GO:0003723,Q92665
MRPS31,GO:0003735,Q92665
MRPS33,GO:0003735,Q9Y291
MRPS34,GO:0003735,P82930
MRPS36,GO:0003735,P82909
MRPS5,GO:0003723,P82675
MRPS5,GO:0003735,P82675
MRPS6,GO:0003723,P82932
MRPS6,GO:0003735,P82932
MRPS6,GO:0019843,P82932
MRPS7,GO:0003723,J3KSI8
MRPS7,GO:0003729,J3KSI8
MRPS7,GO:0003735,J3KSI8
MRPS7,GO:0019843,J3KSI8
MRPS9,GO:0003723,P82933
MRPS9,GO:0003735,P82933
MRTO4,GO:0003723,Q9UKD2
MSH2,GO:0008022,P43246
MSH2,GO:0003697,P43246
MSH2,GO:0003684,P43246
MSH2,GO:0008094,P43246
MSH2,GO:0043531,P43246
MSH3,GO:0003697,P20585
MSH3,GO:0008094,P20585
MSH6,GO:0003684,P52701
MSH6,GO:0008094,P52701
MSH6,GO:0043531,P52701
MSI2,GO:0003723,B4DHE8
MSN,GO:0003723,P26038
MSN,GO:0050839,P26038
MSN,GO:0003725,P26038
MST1,GO:0030971,P26927
MST1R,GO:0004713,Q04912
MTDH,GO:0003723,Q86UE4
MTDH,GO:0003725,Q86UE4
MTDH,GO:0051059,Q86UE4
MTF2,GO:0001224,Q9Y483
MTIF2,GO:0003723,P46199
MTIF2,GO:0043021,P46199
MTIF2,GO:0008135,P46199
MTIF2,GO:0003743,P46199
MTIF2,GO:0043024,P46199
MTMR3,GO:0019903,Q13615
MTMR4,GO:0019903,Q9NYA4
MTOR,GO:0043021,P42345
MTOR,GO:0051219,P42345
MTOR,GO:0043022,P42345
MTPAP,GO:0003723,Q9NVV4
MUL1,GO:0044389,Q969V5
MUL1,GO:0031625,Q969V5
MUL1,GO:0002039,Q969V5
MUL1,GO:0019789,Q969V5
MVP,GO:0019903,Q14764
MYBBP1A,GO:0003723,Q9BQG0
MYBPC3,GO:0060590,Q14896
MYBPC3,GO:0001671,Q14896
MYC,GO:0001047,P01106
MYC,GO:0001046,P01106
MYCBP2,GO:0031267,O75592
MYEF2,GO:0003723,Q9P2K5
MYEF2,GO:0003729,Q9P2K5
MYEF2,GO:0003697,Q9P2K5
MYH10,GO:0003723,P35580
MYH10,GO:0003729,P35580
MYH10,GO:0043531,P35580
MYH10,GO:0048027,P35580
MYH4,GO:0003723,Q9Y623
MYH4,GO:0003725,Q9Y623
MYH9,GO:0003723,A0A024R1N1
MYH9,GO:0050839,A0A024R1N1
MYH9,GO:0045296,A0A024R1N1
MYH9,GO:0043531,A0A024R1N1
MYO10,GO:0005547,Q9HD67
MYO18A,GO:0003723,Q92614
MYO18A,GO:0043531,Q92614
MYO1B,GO:0050839,O43795
MYO1B,GO:0045296,O43795
MYO1B,GO:0005547,O43795
MYO1C,GO:0008022,O00159
MYO1C,GO:0031267,O00159
MYO3A,GO:0043531,Q8NEV4
MYO5A,GO:0003723,Q9Y4I1
MYO5A,GO:0031267,Q9Y4I1
MYO5B,GO:0031267,Q9ULV0
MYO6,GO:0043531,Q9UM54
MYO9B,GO:0031267,Q13459
MYO9B,GO:0043531,Q13459
MYOD1,GO:0044389,P15172
MYOD1,GO:0031625,P15172
NAA10,GO:0043021,P41227
NAA10,GO:0043022,P41227
NAA15,GO:0003723,A0A0B4J1W3
NAA15,GO:0043021,A0A0B4J1W3
NAA15,GO:0043022,A0A0B4J1W3
NACA,GO:0051082,Q13765
NACAD,GO:0051082,O15069
NAE1,GO:0044389,Q13564
NAE1,GO:0031625,Q13564
NAP1L1,GO:0003723,P55209
NAP1L4,GO:0003723,E9PKT8
NAP1L4,GO:0051082,E9PKT8
NARS2,GO:0004812,Q96I59
NARS2,GO:0016875,Q96I59
NAT10,GO:0003723,Q9H0A0
NAT10,GO:0070182,Q9H0A0
NAV2,GO:0004386,E9PNV5
NAV2,GO:0003678,E9PNV5
NBN,GO:0047485,O60934
NBN,GO:0003684,O60934
NBR1,GO:0032182,Q14596
NBR1,GO:0043130,Q14596
NCAPG2,GO:0043425,Q86XI2
NCAPH,GO:0060590,Q15003
NCAPH,GO:0001671,Q15003
NCBP1,GO:0003723,Q09161
NCBP1,GO:0003729,Q09161
NCBP2,GO:0003723,P52298
NCBP2,GO:0003729,P52298
NCBP2,GO:0017069,P52298
NCF1,GO:0060090,A0A087X1W0
NCF2,GO:0008022,P19878
NCK1,GO:0050839,P16333
NCK1,GO:0045296,P16333
NCK1,GO:0060090,P16333
NCK1,GO:0030674,P16333
NCK1,GO:0030971,P16333
NCK1,GO:0035591,P16333
NCK1,GO:0032947,P16333
NCK1,GO:0030159,P16333
NCK1,GO:0031369,P16333
NCK1,GO:0046875,P16333
NCK2,GO:0060090,O43639
NCK2,GO:0030674,O43639
NCK2,GO:0051219,O43639
NCK2,GO:0045309,O43639
NCK2,GO:0001784,O43639
NCK2,GO:0035591,O43639
NCK2,GO:0032947,O43639
NCK2,GO:0030159,O43639
NCKAP1,GO:0031267,Q9Y2A7
NCL,GO:0003723,P19338
NCL,GO:0003729,P19338
NCL,GO:0008022,P19338
NCL,GO:0048027,P19338
NCOA1,GO:0047485,Q15788
NCOA1,GO:0030374,Q15788
NCOA2,GO:0030374,Q15596
NCOA3,GO:0047485,Q9Y6Q9
NCOA3,GO:0001098,Q9Y6Q9
NCOA3,GO:0001099,Q9Y6Q9
NCOA3,GO:0070063,Q9Y6Q9
NCOA3,GO:0030374,Q9Y6Q9
NCOA3,GO:0097718,Q9Y6Q9
NCOA3,GO:0000993,Q9Y6Q9
NCOA3,GO:0046966,Q9Y6Q9
NCOA6,GO:0030374,Q14686
NCOA6,GO:0046966,Q14686
NCOA7,GO:0030374,Q8NI08
NCOR1,GO:0046966,E7EVK1
NCSTN,GO:0060090,Q92542
NCSTN,GO:0030674,Q92542
NDC1,GO:0060090,Q9BTX1
NDC1,GO:0030674,Q9BTX1
NDC1,GO:0017056,Q9BTX1
NDN,GO:0043015,Q99608
NDRG1,GO:0050839,Q92597
NDRG1,GO:0045296,Q92597
NDRG1,GO:0031267,Q92597
NDRG1,GO:0043015,Q92597
NDUFAF1,GO:0051082,Q9Y375
NDUFS1,GO:0051539,P28331
NDUFS2,GO:0044389,O75306
NDUFS2,GO:0031625,O75306
NDUFS2,GO:0051539,O75306
NDUFS7,GO:0051539,O75251
NDUFS8,GO:0051539,O00217
NDUFV1,GO:0051539,P49821
NEDD4,GO:0032182,H0YA37
NEDD4,GO:0051219,H0YA37
NEDD4,GO:0043130,H0YA37
NEDD4,GO:0045309,H0YA37
NEDD4,GO:0070063,H0YA37
NEDD4,GO:0070064,H0YA37
NEDD8,GO:0044389,Q15843
NEDD8,GO:0031625,Q15843
NEFL,GO:0060090,P07196
NEFL,GO:0008022,P07196
NEFL,GO:0030674,P07196
NEK1,GO:0004713,Q96PY6
NEK1,GO:0071889,Q96PY6
NEK2,GO:0019903,F6U4U2
NEK6,GO:0044389,Q9HC98
NEK6,GO:0031625,Q9HC98
NEK6,GO:0019894,Q9HC98
NELFB,GO:0003723,Q8WX92
NELFCD,GO:0003723,H0UI80
NELL1,GO:0005080,Q92832
NELL2,GO:0005080,Q99435
NEMF,GO:0003723,O60524
NEMF,GO:0043021,O60524
NFATC1,GO:0001224,O95644
NFE2,GO:0047485,Q16621
NFKBIA,GO:0044389,P25963
NFKBIA,GO:0031625,P25963
NFKBIA,GO:0005048,P25963
NFKBIA,GO:0051059,P25963
NFKBIA,GO:0008139,P25963
NFU1,GO:0051539,Q9UMS0
NFX1,GO:0003723,Q12986
NGDN,GO:0003723,Q8NEJ9
NHP2,GO:0003723,Q9NX24
NHP2,GO:0030515,Q9NX24
NIN,GO:0051011,E9PN67
NIP7,GO:0003723,Q9Y221
NISCH,GO:0050839,Q9Y2I1
NKAP,GO:0003723,Q8N5F7
NKRF,GO:0003723,O15226
NLGN1,GO:0050839,Q8N2Q7
NLRP12,GO:0016504,P59046
NLRP7,GO:0002020,A0A0G2JNK3
NME1,GO:0003723,C9K028
NME1,GO:0043021,C9K028
NME1,GO:0003697,C9K028
NME1,GO:0043015,C9K028
NME1,GO:0043024,C9K028
NOA1,GO:0003723,Q8NC60
NOC2L,GO:0003723,Q9Y3T9
NOC3L,GO:0003723,Q8WTT2
NOC4L,GO:0003723,Q9BVI4
NOD1,GO:0016504,Q9Y239
NOL10,GO:0003723,Q9BSC4
NOL12,GO:0003723,Q9UGY1
NOL12,GO:0019843,Q9UGY1
NOL3,GO:0003723,H3BQJ5
NOL3,GO:0002020,H3BQJ5
NOL6,GO:0003723,Q9H6R4
NOL7,GO:0003723,Q9UMY1
NOL8,GO:0003723,Q76FK4
NOL9,GO:0003723,Q5SY16
NOLC1,GO:0003723,Q14978
NOLC1,GO:0060090,Q14978
NOLC1,GO:0043021,Q14978
NOLC1,GO:0030674,Q14978
NOLC1,GO:0005048,Q14978
NOLC1,GO:0030515,Q14978
NOLC1,GO:0008139,Q14978
NOM1,GO:0003723,Q5C9Z4
NONO,GO:0003723,Q15233
NOP10,GO:0003723,Q9NPE3
NOP10,GO:0030515,Q9NPE3
NOP14,GO:0003723,P78316
NOP14,GO:0030515,P78316
NOP16,GO:0003723,Q9Y3C1
NOP2,GO:0003723,P46087
NOP56,GO:0003723,O00567
NOP56,GO:0050839,O00567
NOP56,GO:0045296,O00567
NOP56,GO:0030515,O00567
NOP58,GO:0003723,Q9Y2X3
NOP58,GO:0001098,Q9Y2X3
NOP58,GO:0001099,Q9Y2X3
NOP58,GO:0030515,Q9Y2X3
NOP58,GO:0001091,Q9Y2X3
NOP9,GO:0003723,Q86U38
NOTCH2,GO:0051059,Q04721
NOTCH3,GO:0050839,Q9UM47
NOTCH3,GO:0045296,Q9UM47
NOVA1,GO:0003723,P51513
NOVA1,GO:0003729,P51513
NOX1,GO:0031267,Q9Y5S8
NOXA1,GO:0031267,Q86UR1
NPAP1,GO:0005048,Q9NZP6
NPAP1,GO:0017056,Q9NZP6
NPAP1,GO:0008139,Q9NZP6
NPLOC4,GO:0044389,Q8TAT6
NPLOC4,GO:0031625,Q8TAT6
NPLOC4,GO:0032182,Q8TAT6
NPLOC4,GO:0043130,Q8TAT6
NPM1,GO:0003723,A0A0S2Z491
NPM1,GO:0043021,A0A0S2Z491
NPM1,GO:0051082,A0A0S2Z491
NPM1,GO:0001047,A0A0S2Z491
NPM1,GO:0001046,A0A0S2Z491
NPM1,GO:0051059,A0A0S2Z491
NPM1,GO:0043024,A0A0S2Z491
NPM3,GO:0003723,O75607
NPTN,GO:0050839,Q9UFM8
NQO1,GO:0003723,P15559
NR0B1,GO:0003723,A6NNU8
NR3C1,GO:0003723,P04150
NR3C1,GO:0031072,P04150
NR3C1,GO:0051879,P04150
NR3C1,GO:0001047,P04150
NR3C1,GO:0001046,P04150
NRG1,GO:0050839,A0A087X0X9
NRG1,GO:0030971,A0A087X0X9
NRP1,GO:0004713,O14786
NRP2,GO:0004713,O60462
NRXN1,GO:0050839,A0A0D9SG60
NSA2,GO:0003723,O95478
NSF,GO:0031267,P46459
NSFL1C,GO:0032182,Q9UNZ2
NSFL1C,GO:0043130,Q9UNZ2
NSMCE2,GO:0019789,Q96MF7
NSRP1,GO:0003723,A0A024QZ33
NSRP1,GO:0003729,A0A024QZ33
NSUN2,GO:0003723,Q08J23
NSUN5,GO:0003723,H7C2G6
NTPCR,GO:0003723,Q5TDF0
NTRK1,GO:0004713,E9PQG0
NTRK3,GO:0004713,H0YM90
NTRK3,GO:0002039,H0YM90
NUBP1,GO:0051539,P53384
NUBP2,GO:0051539,Q9Y5Y2
NUBPL,GO:0051539,Q8TB37
NUDC,GO:0050839,Q9Y266
NUDC,GO:0045296,Q9Y266
NUDC,GO:0051082,Q9Y266
NUDT1,GO:0003723,P36639
NUDT1,GO:0030515,P36639
NUDT21,GO:0003723,O43809
NUDT21,GO:0003729,O43809
NUDT5,GO:0003723,Q9UKK9
NUDT5,GO:0030515,Q9UKK9
NUFIP1,GO:0003723,Q9UHK0
NUFIP1,GO:0060090,Q9UHK0
NUFIP1,GO:0030674,Q9UHK0
NUFIP1,GO:0030515,Q9UHK0
NUMA1,GO:0008022,Q14980
NUMA1,GO:0097718,Q14980
NUMA1,GO:0051011,Q14980
NUMB,GO:0050839,P49757
NUMB,GO:0045296,P49757
